date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:37:24	20183/20183	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Mar%202025%2022:37:23%20GMT	https://uinhugjr.manus.space/	C:/My%20Web%20Sites/5%20AROS/uinhugjr.manus.space/index.html	(from )
15:37:24	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Mar%202025%2022:37:23%20GMT	https://uinhugjr.manus.space/robots.txt		(from )
15:37:24	13950/13950	---MCZ	200	added ('OK')	text/css	etag:W/%22a09f648b3b8391b3e2f56f9cb7c9853c%22	https://uinhugjr.manus.space/css/styles.css	C:/My%20Web%20Sites/5%20AROS/uinhugjr.manus.space/css/styles.css	(from https://uinhugjr.manus.space/)
15:37:24	1149/1149	---MCZ	200	added ('OK')	text/css	etag:W/%221c0462deddfb9620648e624d74016407%22	https://uinhugjr.manus.space/css/animations.css	C:/My%20Web%20Sites/5%20AROS/uinhugjr.manus.space/css/animations.css	(from https://uinhugjr.manus.space/)
15:37:25	83981/83981	---M-Z	200	added ('OK')	text/css	etag:%22619c057b-44be%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	C:/My%20Web%20Sites/5%20AROS/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	(from https://uinhugjr.manus.space/)
15:37:25	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Mon,%2017%20Mar%202025%2022:37:24%20GMT	https://uinhugjr.manus.space/index.html	C:/My%20Web%20Sites/5%20AROS/uinhugjr.manus.space/index-2.html	(from https://uinhugjr.manus.space/)
15:37:25	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Mon,%2017%20Mar%202025%2022:37:25%20GMT	https://uinhugjr.manus.space/index.html	C:/My%20Web%20Sites/5%20AROS/uinhugjr.manus.space/index-2.html	(from https://uinhugjr.manus.space/)
15:37:25	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Mon,%2017%20Mar%202025%2022:37:25%20GMT	https://uinhugjr.manus.space/index.html	C:/My%20Web%20Sites/5%20AROS/uinhugjr.manus.space/index-2.html	(from https://uinhugjr.manus.space/)
15:37:25	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Mon,%2017%20Mar%202025%2022:37:25%20GMT	https://uinhugjr.manus.space/index.html	C:/My%20Web%20Sites/5%20AROS/uinhugjr.manus.space/index-2.html	(from https://uinhugjr.manus.space/)
15:37:26	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Mon,%2017%20Mar%202025%2022:37:25%20GMT	https://uinhugjr.manus.space/index.html	C:/My%20Web%20Sites/5%20AROS/uinhugjr.manus.space/index-2.html	(from https://uinhugjr.manus.space/)
15:37:26	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Mon,%2017%20Mar%202025%2022:37:25%20GMT	https://uinhugjr.manus.space/work_samples/index.html	C:/My%20Web%20Sites/5%20AROS/uinhugjr.manus.space/work_samples/index.html	(from https://uinhugjr.manus.space/)
15:37:26	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Mon,%2017%20Mar%202025%2022:37:26%20GMT	https://uinhugjr.manus.space/merchandise/index.html	C:/My%20Web%20Sites/5%20AROS/uinhugjr.manus.space/merchandise/index.html	(from https://uinhugjr.manus.space/)
15:37:26	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Mon,%2017%20Mar%202025%2022:37:26%20GMT	https://uinhugjr.manus.space/index.html	C:/My%20Web%20Sites/5%20AROS/uinhugjr.manus.space/index-2.html	(from https://uinhugjr.manus.space/)
15:37:26	205/205	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e0e6d9bea2429349d7b57fead6b564c2%22	https://uinhugjr.manus.space/assets/icons/hammer.svg	C:/My%20Web%20Sites/5%20AROS/uinhugjr.manus.space/assets/icons/hammer.svg	(from https://uinhugjr.manus.space/)
15:37:27	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Mon,%2017%20Mar%202025%2022:37:26%20GMT	https://uinhugjr.manus.space/index.html	C:/My%20Web%20Sites/5%20AROS/uinhugjr.manus.space/index-2.html	(from https://uinhugjr.manus.space/)
15:37:27	10639/10639	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Mar%202025%2022:37:27%20GMT	https://uinhugjr.manus.space/work_samples/	C:/My%20Web%20Sites/5%20AROS/uinhugjr.manus.space/work_samples/index.html	(from https://uinhugjr.manus.space/)
